customer_no,timestamp,location,dow,time,day_period
1000_friday,2019-09-06 17:19:00,fruit,friday,17:19:00,evening
1000_friday,2019-09-06 17:20:00,checkout,friday,17:20:00,evening
1000_monday,2019-09-02 17:44:00,dairy,monday,17:44:00,evening
1000_monday,2019-09-02 17:45:00,dairy,monday,17:44:00,evening
1000_monday,2019-09-02 17:46:00,dairy,monday,17:44:00,evening
1000_monday,2019-09-02 17:47:00,dairy,monday,17:44:00,evening
1000_monday,2019-09-02 17:48:00,dairy,monday,17:44:00,evening
1000_monday,2019-09-02 17:49:00,dairy,monday,17:44:00,evening
1000_monday,2019-09-02 17:50:00,drinks,monday,17:50:00,evening
1000_monday,2019-09-02 17:51:00,checkout,monday,17:51:00,evening
1000_thursday,2019-09-05 17:23:00,spices,thursday,17:23:00,evening
1000_thursday,2019-09-05 17:24:00,spices,thursday,17:23:00,evening
1000_thursday,2019-09-05 17:25:00,spices,thursday,17:23:00,evening
1000_thursday,2019-09-05 17:26:00,dairy,thursday,17:26:00,evening
1000_thursday,2019-09-05 17:27:00,dairy,thursday,17:26:00,evening
1000_thursday,2019-09-05 17:28:00,dairy,thursday,17:26:00,evening
1000_thursday,2019-09-05 17:29:00,drinks,thursday,17:29:00,evening
1000_thursday,2019-09-05 17:30:00,drinks,thursday,17:29:00,evening
1000_thursday,2019-09-05 17:31:00,drinks,thursday,17:29:00,evening
1000_thursday,2019-09-05 17:32:00,drinks,thursday,17:29:00,evening
1000_thursday,2019-09-05 17:33:00,checkout,thursday,17:33:00,evening
1000_tuesday,2019-09-03 17:53:00,fruit,tuesday,17:53:00,evening
1000_tuesday,2019-09-03 17:54:00,dairy,tuesday,17:54:00,evening
1000_tuesday,2019-09-03 17:55:00,dairy,tuesday,17:54:00,evening
1000_tuesday,2019-09-03 17:56:00,dairy,tuesday,17:54:00,evening
1000_tuesday,2019-09-03 17:57:00,checkout,tuesday,17:57:00,evening
1000_wednesday,2019-09-04 16:53:00,spices,wednesday,16:53:00,evening
